year,period_end_date,is_partial_year,object_class,appeared_count,ended_count,present_any_time_count,present_at_period_end_count
1973,1973-12-31,0,component,175,146,628,482
1973,1973-12-31,0,debris,471,260,2542,2282
1973,1973-12-31,0,unknown,0,0,0,0
1973,1973-12-31,0,spurious,0,0,3,3
1974,1974-12-31,0,all,441,364,4170,3806
1974,1974-12-31,0,payload,128,67,744,677
1974,1974-12-31,0,rocket_body,114,77,460,383
1974,1974-12-31,0,component,169,158,651,493
1974,1974-12-31,0,debris,30,62,2312,2250
1974,1974-12-31,0,unknown,0,0,0,0
1974,1974-12-31,0,spurious,0,0,3,3
1975,1975-12-31,0,all,1119,502,4925,4423
1975,1975-12-31,0,payload,163,87,840,753
1975,1975-12-31,0,rocket_body,137,81,520,439
1975,1975-12-31,0,component,245,219,738,519
1975,1975-12-31,0,debris,573,115,2823,2708
1975,1975-12-31,0,unknown,0,0,0,0
1975,1975-12-31,0,spurious,1,0,4,4
1976,1976-12-31,0,all,1240,675,5663,4988
1976,1976-12-31,0,payload,187,73,940,867
1976,1976-12-31,0,rocket_body,141,84,580,496
1976,1976-12-31,0,component,205,178,724,546
1976,1976-12-31,0,debris,706,338,3414,3076
1976,1976-12-31,0,unknown,0,0,0,0
1976,1976-12-31,0,spurious,1,2,5,3
1977,1977-12-31,0,all,1108,545,6096,5551
1977,1977-12-31,0,payload,175,106,1042,936
1977,1977-12-31,0,rocket_body,137,91,633,542
1977,1977-12-31,0,component,170,162,716,554
1977,1977-12-31,0,debris,624,183,3700,3517
1977,1977-12-31,0,unknown,0,0,0,0
1977,1977-12-31,0,spurious,2,3,5,2
1978,1978-12-31,0,all,581,541,6132,5591
1978,1978-12-31,0,payload,194,140,1130,990
1978,1978-12-31,0,rocket_body,133,93,675,582
1978,1978-12-31,0,component,158,156,712,556
1978,1978-12-31,0,debris,96,152,3613,3461
1978,1978-12-31,0,unknown,0,0,0,0
1978,1978-12-31,0,spurious,0,0,2,2
1979,1979-12-31,0,all,499,631,6090,5459
1979,1979-12-31,0,payload,158,127,1148,1021
1979,1979-12-31,0,rocket_body,118,98,700,602
1979,1979-12-31,0,component,167,157,723,566
1979,1979-12-31,0,debris,53,248,3514,3266
1979,1979-12-31,0,unknown,0,0,0,0
1979,1979-12-31,0,spurious,3,1,5,4
1980,1980-12-31,0,all,577,590,6036,5446
1980,1980-12-31,0,payload,154,120,1175,1055
1980,1980-12-31,0,rocket_body,117,109,719,610
1980,1980-12-31,0,component,177,177,743,566
1980,1980-12-31,0,debris,128,183,3394,3211
1980,1980-12-31,0,unknown,0,0,0,0
1980,1980-12-31,0,spurious,1,1,5,4
1981,1981-12-31,0,all,1365,636,6811,6175
1981,1981-12-31,0,payload,184,107,1239,1132
1981,1981-12-31,0,rocket_body,138,101,748,647
1981,1981-12-31,0,component,205,195,771,576
1981,1981-12-31,0,debris,837,231,4048,3817
1981,1981-12-31,0,unknown,0,0,0,0
1981,1981-12-31,0,spurious,1,2,5,3
1982,1982-12-31,0,all,688,581,6863,6282
1982,1982-12-31,0,payload,174,104,1306,1202
1982,1982-12-31,0,rocket_body,133,93,780,687
1982,1982-12-31,0,component,192,189,768,579
1982,1982-12-31,0,debris,186,192,4003,3811
1982,1982-12-31,0,unknown,0,0,0,0
1982,1982-12-31,0,spurious,3,3,6,3
1983,1983-12-31,0,all,701,517,6983,6466
1983,1983-12-31,0,payload,226,149,1428,1279
1983,1983-12-31,0,rocket_body,141,93,828,735
1983,1983-12-31,0,component,250,179,829,650
1983,1983-12-31,0,debris,84,93,3895,3802
1983,1983-12-31,0,unknown,0,0,0,0
1983,1983-12-31,0,spurious,0,3,3,0
1984,1984-12-31,0,all,830,592,7296,6704
1984,1984-12-31,0,payload,225,121,1504,1383
1984,1984-12-31,0,rocket_body,148,95,883,788
1984,1984-12-31,0,component,357,291,1007,716
1984,1984-12-31,0,debris,100,85,3902,3817
1984,1984-12-31,0,unknown,0,0,0,0
1984,1984-12-31,0,spurious,0,0,0,0
1985,1985-12-31,0,all,1401,470,8105,7635
1985,1985-12-31,0,payload,203,91,1586,1495
1985,1985-12-31,0,rocket_body,132,79,920,841
1985,1985-12-31,0,component,344,245,1060,815
1985,1985-12-31,0,debris,722,55,4539,4484
1985,1985-12-31,0,unknown,0,0,0,0
1985,1985-12-31,0,spurious,0,0,0,0
1986,1986-12-31,0,all,1056,555,8691,8136
1986,1986-12-31,0,payload,159,66,1654,1588
1986,1986-12-31,0,rocket_body,118,75,959,884
1986,1986-12-31,0,component,216,254,1031,777
1986,1986-12-31,0,debris,563,160,5047,4887
1986,1986-12-31,0,unknown,0,0,0,0
1986,1986-12-31,0,spurious,0,0,0,0
1987,1987-12-31,0,all,941,635,9077,8442
1987,1987-12-31,0,payload,149,88,1737,1649
1987,1987-12-31,0,rocket_body,122,78,1006,928
1987,1987-12-31,0,component,221,214,998,784
1987,1987-12-31,0,debris,449,255,5336,5081
1987,1987-12-31,0,unknown,0,0,0,0
1987,1987-12-31,0,spurious,0,0,0,0
1988,1988-12-31,0,all,758,951,9200,8249
1988,1988-12-31,0,payload,167,117,1816,1699
1988,1988-12-31,0,rocket_body,131,99,1059,960
1988,1988-12-31,0,component,334,289,1118,829
1988,1988-12-31,0,debris,124,446,5205,4759
1988,1988-12-31,0,unknown,0,0,0,0
1988,1988-12-31,0,spurious,2,0,2,2
1989,1989-12-31,0,all,596,1077,8845,7768
1989,1989-12-31,0,payload,194,131,1893,1762
1989,1989-12-31,0,rocket_body,119,105,1079,974
1989,1989-12-31,0,component,192,213,1021,808
1989,1989-12-31,0,debris,91,628,4850,4222
1989,1989-12-31,0,unknown,0,0,0,0
1989,1989-12-31,0,spurious,0,0,2,2
1990,1990-12-31,0,all,683,578,8451,7873
1990,1990-12-31,0,payload,212,125,1974,1849
1990,1990-12-31,0,rocket_body,140,94,1114,1020
1990,1990-12-31,0,component,188,145,996,851
1990,1990-12-31,0,debris,142,211,4364,4153
1990,1990-12-31,0,unknown,0,0,0,0
1990,1990-12-31,0,spurious,1,3,3,0
